language_name,language_code,country
Southern Samo,sbd,Burkina Faso
Southern Toussian,wib,Burkina Faso
Sìcìté Sénoufo,sep,Burkina Faso
Tiéfo,tiq,Burkina Faso
Tomo Kan Dogon,dtm,Burkina Faso
Turka,tuz,Burkina Faso
Téén,lor,Burkina Faso
Viemo,vig,Burkina Faso
Wara,wbf,Burkina Faso
Western Karaboro,kza,Burkina Faso
Winyé,kst,Burkina Faso
Zarma,dje,Burkina Faso
Burundian Sign Language,lsb,Burundi
Rundi,run,Burundi
Adamawa Fulfulde,fub,Cameroon
Afade,aal,Cameroon
Aghem,agq,Cameroon
Ajumbu,muc,Cameroon
Akoose,bss,Cameroon
Akum,aku,Cameroon
Ambele,ael,Cameroon
Atong,ato,Cameroon
Awing,azo,Cameroon
Babanki,bbk,Cameroon
Bafaw-Balong,bwt,Cameroon
Bafia,ksf,Cameroon
Bafut,bfd,Cameroon
Baka,bkc,Cameroon
Bakaka,bqz,Cameroon
Bakoko,bkh,Cameroon
Bakole,kme,Cameroon
Baldemu,bdn,Cameroon
Balo,bqo,Cameroon
Bambili-Bambui,baw,Cameroon
Bamun,bax,Cameroon
Bana,bcw,Cameroon
Bangandu,bgf,Cameroon
Bankon,abb,Cameroon
Barombi,bbi,Cameroon
Basaa,bas,Cameroon
Bassossi,bsi,Cameroon
Bata,bta,Cameroon
Batanga,bnm,Cameroon
Bati,btc,Cameroon
Beba,bfp,Cameroon
Bebele,beb,Cameroon
Bebil,bxp,Cameroon
Beezen,bnz,Cameroon
Befang,bby,Cameroon
Bekwel,bkw,Cameroon
Bikya,byb,Cameroon
Bishuo,bwh,Cameroon
Bitare,brt,Cameroon
Bokyi,bky,Cameroon
Bomwali,bmw,Cameroon
Bonkeng,bvg,Cameroon
Bubia,bbx,Cameroon
Buduma,bdm,Cameroon
Bulu,bum,Cameroon
Bum,bmv,Cameroon
Bung,bqd,Cameroon
Busam,bxs,Cameroon
Busuu,bju,Cameroon
Buwal,bhs,Cameroon
Byep,mkk,Cameroon
Caka,ckx,Cameroon
Cameroon Mambila,mcu,Cameroon
Cameroon Pidgin,wes,Cameroon
Chopechop,bbq,Cameroon
Chrambo,bmo,Cameroon
Chufie’,bfj,Cameroon
Chung,cnq,Cameroon
Cuvok,cuv,Cameroon
Daba,dbq,Cameroon
Dama,dmm,Cameroon
Da’a,jia,Cameroon
Denya,anv,Cameroon
Dii,dur,Cameroon
Dimbong,dii,Cameroon
Doyayo,dow,Cameroon
Duala,dua,Cameroon
Dugun,ndu,Cameroon
Dugwor,dme,Cameroon
Duli-Gey,duz,Cameroon
Durop,krp,Cameroon
Duupa,dae,Cameroon
Efai,efa,Cameroon
Ejagham,etu,Cameroon
Eman,emn,Cameroon
Esimbi,ags,Cameroon
Eton,eto,Cameroon
Evant,bzz,Cameroon
Ewondo,ewo,Cameroon
Fang,fan,Cameroon
Fang,fak,Cameroon
Fe’fe’,fmp,Cameroon
Gavar,gou,Cameroon
Gbaya-Mbodomo,gmm,Cameroon
Ghomálá’,bbj,Cameroon
Gidar,gid,Cameroon
Gimme,kmp,Cameroon
Gimnime,gmn,Cameroon
Giziga,giz,Cameroon
Glavda,glw,Cameroon
Gude,gde,Cameroon
Gvoko,ngs,Cameroon
Gyeli,gyi,Cameroon
Hdi,xed,Cameroon
Hijuk,hij,Cameroon
Hya,hya,Cameroon
Iceve-Maci,bec,Cameroon
Ipulo,ass,Cameroon
Isu,isu,Cameroon
Isubu,szv,Cameroon
Iyasa,yko,Cameroon
Iyive,uiv,Cameroon
Jimjimen,jim,Cameroon
Jukun Takum,jbu,Cameroon
Kako,kkj,Cameroon
Kamkam,bgu,Cameroon
Karang,kzr,Cameroon
Kare,kbn,Cameroon
Kasabe,luw,Cameroon
Kemedzung,dmo,Cameroon
Kendem,kvm,Cameroon
Kenswei Nsei,ndb,Cameroon
Kenyang,ken,Cameroon
Kera,ker,Cameroon
Kol,biw,Cameroon
Kolbila,klc,Cameroon
Kom,bkm,Cameroon
Koma,kmy,Cameroon
Koonzime,ozm,Cameroon
Koshin,kid,Cameroon
Kuk,kfn,Cameroon
Kung,kfl,Cameroon
Kuo,xuo,Cameroon
Kutep,kub,Cameroon
Kwaja,kdz,Cameroon
Kwakum,kwu,Cameroon
Kwanja,knp,Cameroon
Kwasio,nmg,Cameroon
Lagwan,kot,Cameroon
Laimbue,lmx,Cameroon
Lamnsoʼ,lns,Cameroon
La’bi,lbi,Cameroon
Lefa,lfa,Cameroon
Leti,leo,Cameroon
Lidzonka,add,Cameroon
Limbum,lmp,Cameroon
Longto,wok,Cameroon
Mada,mxu,Cameroon
Mafa,maf,Cameroon
Majera,xmj,Cameroon
Makaa,mcp,Cameroon
Malgbe,mxf,Cameroon
Mambai,mcs,Cameroon
Mankong,bqt,Cameroon
Manta,myg,Cameroon
Masana,mcn,Cameroon
Maslam,msv,Cameroon
Matal,mfh,Cameroon
Matsuva,tsh,Cameroon
Mazagway-Hidi,dkx,Cameroon
Mbessa,emz,Cameroon
Mbo,mbo,Cameroon
Mbonga,xmb,Cameroon
Mbo’,mtk,Cameroon
Mbudum,xmd,Cameroon
Mbuk,bpc,Cameroon
Mbuko,mqb,Cameroon
Mbule,mlb,Cameroon
Mbum,mdd,Cameroon
Medumba,byv,Cameroon
Mefele,mfj,Cameroon
Mendankwe-Nkwen,mfd,Cameroon
Mendenkye,bgj,Cameroon
Mengaka,xmg,Cameroon
Mengambo,bce,Cameroon
Mengisa,mct,Cameroon
Menka,mea,Cameroon
Merey,meq,Cameroon
Mesaka,iyo,Cameroon
Meta’,mgo,Cameroon
Mfumte,nfu,Cameroon
Mina,hna,Cameroon
Mmen,bfm,Cameroon
Mofu-Gudur,mif,Cameroon
Moghamo,nbv,Cameroon
Mokpwe,bri,Cameroon
Moloko,mlw,Cameroon
Mom Jango,ver,Cameroon
Mono,mru,Cameroon
Mpade,mpi,Cameroon
Mpiemo,mcx,Cameroon
